%Data filename =  
%Sum of power =     272.8854260
%Multiplication factor for 0.01% FDR = 5.58987 Chi2 CL=  99.999958%
%Multiplication factor for  0.1% FDR = 5.09019 Chi2 CL=  99.999765%
%Multiplication factor for   1% FDR = 3.91579 Chi2 CL=  99.987710%
%Multiplication factor for   5% FDR = 3.38269 Chi2 CL=  99.931010%
%     Frequency Period/Wavelength       Rel.Power   SWA_background           5% FDR           1% FDR         0.1% FDR       0.01% FDR
      3.2297380        0.3096226        1.0398368        1.0071923        3.4070185        3.9439521        5.1268001        5.6300711
      3.2906764        0.3038889        0.9665567        0.9414957        3.1847873        3.6866981        4.7923919        5.2628358
      3.3516149        0.2983636        0.8430582        0.8792023        2.9740680        3.4427702        4.4753065        4.9146238
      3.4125533        0.2930357        0.6425874        0.8204516        2.7753329        3.2127152        4.1762546        4.5862156
      3.4734918        0.2878947        0.6066042        0.7652620        2.5886436        2.9966043        3.8953290        4.2777130
      3.5344302        0.2829310        0.7339070        0.7135636        2.4137638        2.7941641        3.6321741        3.9887255
      3.5953687        0.2781356        0.8115452        0.6652280        2.2502596        2.6048923        3.3861369        3.7185362
      3.6563071        0.2735000        0.7321138        0.6200924        2.0975799        2.4281507        3.1563880        3.4662341
      3.7172456        0.2690164        0.5683282        0.5779768        1.9551160        2.2632351        2.9420118        3.2308136
      3.7781840        0.2646774        0.4393278        0.5386968        1.8222440        2.1094230        2.7420692        3.0112438
      3.8391225        0.2604762        0.3969038        0.5020718        1.6983528        1.9660069        2.5556407        2.8065145
      3.9000609        0.2564063        0.4338020        0.4679304        1.5828631        1.8323165        2.3818546        2.6156687
      3.9609994        0.2524615        0.5441680        0.4361150        1.4752414        1.7077341        2.2199081        2.4378248
      4.0219378        0.2486364        0.7225507        0.4064844        1.3750104        1.5917070        2.0690829        2.2721938
      4.0828763        0.2449254        0.8509811        0.3789165        1.2817566        1.4837568        1.9287567        2.1180926
      4.1438147        0.2413235        0.7531086        0.3533091        1.1951350        1.3834839        1.7984105        1.9749511
      4.2047532        0.2378261        0.4788458        0.3295806        1.1148686        1.2905678        1.6776276        1.8423115
      4.2656917        0.2344286        0.2696735        0.3076670        1.0407419        1.2047590        1.5660835        1.7198177
      4.3266301        0.2311268        0.2345301        0.2875187        0.9725863        1.1258623        1.4635246        1.6071911
      4.3875686        0.2279167        0.2911106        0.2690934        0.9102593        1.0537128        1.3697364        1.5041963
      4.4485070        0.2247945        0.3179511        0.2523494        0.8536195        0.9881468        1.2845062        1.4105995
      4.5094455        0.2217568        0.2653649        0.2372374        0.8025005        0.9289716        1.2075836        1.3261257
      4.5703839        0.2188000        0.1768957        0.2236944        0.7566887        0.8759400        1.1386471        1.2504220
