% IntCal13 raw data downloaded from http://intcal.qub.ac.uk/intcal13/ 
% Downloaded in 2016. As of 2020, the url redirects to IntCal20 data.						
%...Col 1	2	3	4	5	6	7
% setno	division	calage	calspan	calsig	c14age	c14sig
1	3	257	1	0	125	20
1	3	256	1	0	116	20
1	3	255	1	0	104	18
1	3	254	1	0	125	18
1	3	253	1	0	95	20
1	3	252	1	0	116	21
1	3	251	1	0	81	20
1	3	250	1	0	98	23
1	3	250	1	0	84	18
1	3	249	1	0	95	21
1	3	248	1	0	165	23
1	3	248	1	0	149	18
1	3	248	1	0	123	18
1	3	247	1	0	107	14
1	3	247	1	0	90	17
1	3	246	1	0	119	16
1	3	245	1	0	109	20
1	3	244	1	0	126	20
1	3	243	1	0	149	18
1	3	243	1	0	124	18
1	3	242	1	0	122	17
1	3	241	1	0	122	20
1	3	240	1	0	117	18
1	3	239	1	0	90	18
1	3	239	1	0	82	18
1	3	238	1	0	128	18
1	3	237	1	0	88	18
1	3	236	1	0	84	18
1	3	235	1	0	111	18
1	3	234	1	0	105	18
1	3	233	1	0	91	18
1	3	232	1	0	89	17
1	3	232	1	0	110	17
1	3	231	1	0	106	18
1	3	230	1	0	108	18
1	3	229	1	0	121	18
1	3	228	1	0	132	17
1	3	227	1	0	125	18
1	3	226	1	0	148	17
1	3	226	1	0	108	18
1	3	225	1	0	121	18
1	3	195	1	0	165	22
1	3	194	1	0	171	21
1	3	193	1	0	151	18
1	3	192	1	0	111	20
1	3	192	1	0	171	18
1	3	191	1	0	137	18
1	3	166	1	0	224	18
1	3	165	1	0	219	16
1	3	164	1	0	222	25
1	3	163	1	0	224	18
1	3	162	1	0	240	20
1	3	161	1	0	209	18
1	3	160	1	0	214	18
1	3	159	1	0	212	20
1	3	158	1	0	240	20
1	3	157	1	0	215	18
1	3	156	1	0	227	18
1	3	155	1	0	229	21
1	3	154	1	0	225	18
1	3	153	1	0	189	18
1	3	152	1	0	192	18
1	3	152	1	0	170	18
1	3	151	1	0	155	18
1	3	150	1	0	147	18
1	3	149	1	0	194	20
1	3	149	1	0	177	18
1	3	148	1	0	166	20
1	3	148	1	0	162	18
1	3	147	1	0	170	18
1	3	146	1	0	154	18
1	3	145	1	0	153	18
1	3	144	1	0	170	18
1	3	143	1	0	148	22
1	3	143	1	0	152	18
1	3	142	1	0	183	18
1	3	141	1	0	138	20
1	3	140	1	0	119	20
1	3	139	1	0	122	21
1	3	138	1	0	114	21
1	3	137	1	0	125	18
1	3	137	1	0	118	18
1	3	136	1	0	126	21
1	3	135	1	0	118	18
1	3	134	1	0	84	18
1	3	133	1	0	80	21
1	3	132	1	0	52	20
1	3	132	1	0	105	18
1	3	131	1	0	139	21
1	3	130	1	0	102	18
1	3	129	1	0	79	18
1	3	128	1	0	114	18
1	4	35	1	0	83	42
1	4	34	1	0	133	20
1	4	33	1	0	93	17
1	4	33	1	0	123	20
1	4	32	1	0	124	17
1	4	32	1	0	121	18
1	4	31	1	0	126	18
1	4	30	1	0	135	20
1	4	29	1	0	118	20
1	4	28	1	0	123	20
1	4	27	1	0	153	17
1	4	26	1	0	111	18
1	4	25	1	0	115	17
1	4	24	1	0	158	17
1	4	23	1	0	153	22
1	4	22	1	0	151	18
1	4	21	1	0	154	18
1	4	21	1	0	172	18
1	4	20	1	0	140	18
1	4	19	1	0	153	20
1	4	18	1	0	181	18
1	4	18	1	0	191	20
1	4	17	1	0	167	18
1	4	16	1	0	141	20
1	4	15	1	0	150	20
1	4	14	1	0	147	18
1	4	13	1	0	152	17
1	4	12	1	0	145	18
1	4	12	1	0	141	18
1	4	11	1	0	174	20
1	4	10	1	0	197	21
1	4	9	1	0	170	21
1	4	8	1	0	178	17
1	4	8	1	0	169	18
1	4	7	1	0	185	17
1	4	7	1	0	230	21
1	4	6	1	0	174	21
1	4	6	1	0	209	18
1	4	5	1	0	187	21
1	4	3	1	0	178	17
1	4	2	1	0	182	20
1	4	1	1	0	213	18
1	4	0	1	0	210	18
1	4	-1	1	0	207	18
1	4	-2	1	0	208	18
1	4	-3	1	0	193	20
1	4	-4	1	0	179	30
1	5	264	1	0	117	17
1	5	264	1	0	118	21
1	5	263	1	0	138	18
1	5	262	1	0	134	18
1	5	261	1	0	139	21
1	5	260	1	0	129	18
1	5	259	1	0	127	18
1	5	258	1	0	106	18
1	5	257	1	0	119	18
1	5	256	1	0	107	18
1	5	255	1	0	96	18
1	5	254	1	0	90	17
1	5	253	1	0	106	18
1	5	252	1	0	77	18
1	5	251	1	0	92	18
1	5	250	1	0	115	20
1	5	250	1	0	111	20
1	5	249	1	0	113	17
1	5	249	1	0	61	18
1	5	248	1	0	100	17
1	5	248	1	0	86	17
1	5	247	1	0	95	18
1	5	246	1	0	81	17
1	5	246	1	0	51	18
1	5	245	1	0	105	17
1	5	244	1	0	120	18
1	5	243	1	0	108	17
1	5	243	1	0	87	17
1	5	242	1	0	101	18
1	5	241	1	0	77	20
1	5	240	1	0	95	17
1	5	240	1	0	70	18
1	5	239	1	0	96	17
1	5	239	1	0	71	18
1	5	238	1	0	113	18
