%Data filename = 
%Multiplication factor for 99.99% Chi2 CL = 4.64272
%Multiplication factor for  99.9% Chi2 CL = 3.74296
%Multiplication factor for   99% Chi2 CL = 2.80198
%Multiplication factor for   95% Chi2 CL = 2.09860
%Multiplication factor for   90% Chi2 CL = 1.77411
%     Frequency       Real_Power   SWA_background        90%Chi2CL        95%Chi2CL        99%Chi2CL      99.9%Chi2CL     99.99%Chi2CL
      0.7263648    17230.9282739     9734.9544556    17270.8486956    20429.7547236    27277.1701242    36437.5199559    45196.7022054
      0.7320395     3241.5533090     9502.0846370    16857.7127718    19941.0546174    26624.6730132    35565.8981419    44115.5520170
      0.7377142     8577.5924054     9276.3512860    16457.2377034    19467.3310868    25992.1721579    34720.9878220    43067.5344746
      0.7433889    10145.1127141     9057.6491255    16069.2367178    19008.3631977    25379.3725741    33902.3949488    42052.1608058
      0.7490637    20522.2276077     8845.8520329    15693.4860600    18563.8862696    24785.9208685    33109.6474509    41068.8454586
      0.7547384    18025.0511026     8640.8164169    15329.7309836    18133.5989617    24211.4147005    32342.2078717    40116.9217776
      0.7604131    11335.8039626     8442.3843996    14977.6913966    17717.1699522    23655.4116994    31599.4852815    39195.6567802
      0.7660878     9697.9757998     8250.3867839    14637.0671249    17314.2441640    23117.4377775    30880.8463822    38304.2649301
      0.7717626     9893.5849794     8064.6457889    14307.5427666    16924.4485068    22596.9947963    30185.6257480    37441.9208406
      0.7774373    10040.5648128     7884.9775471    13988.7921207    16547.3971165    22093.5675619    29513.1351701    36607.7708650
      0.7831120    12384.7763439     7711.1943565    13680.4821842    16182.6960823    21606.6301371    28862.6720886    35800.9435554
      0.7887867    15264.7299362     7543.1066908    13382.2767169    15829.9476643    21135.6514719    28233.5271138    35020.5589929
      0.7944615    12895.2844592     7380.5249691    13093.8393824    15488.7540089    20680.1003649    27624.9906535    34265.7370069
      0.8001362     4475.6956208     7223.2610958    12814.8364786    15158.7203788    20239.4497747    27036.3586730    33535.6043205
      0.8058109     2159.6931191     7071.1297769    12544.9392744    14839.4579163    19813.1805110    26466.9376249    32829.3006651
      0.8114856     2033.4424710     6923.9496278    12283.8259740    14530.5859683    19400.7843375    25916.0485945    32145.9839221
      0.8171604     2188.0314488     6781.5440843    12031.1833340    14231.7339976    19001.7665247    25383.0307098    31484.8343534
      0.8228351     4381.7669208     6643.7421326    11786.7079572    13942.5431146    18615.6478943    24867.2438729    30845.0579883
      0.8285098     7351.3176532     6510.3788721    11550.1072926    13662.6672596    18241.9663982    24368.0708681    30225.8892394
      0.8341845     6041.9198479     6381.2959286    11321.1003676    13391.7740690    17880.2782748    23884.9189079    29626.5928194
      0.8398593     3865.1986587     6256.3417327    11099.4182814    13129.5454589    17530.1588287    23417.2206736    29046.4650323
      0.8455340     2682.8782833     6135.3716777    10884.8044867    12875.6779587    17191.2028752    22964.4349094    28484.8345104
      0.8512087     7537.3331419     6018.2481747    10677.0148862    12629.8828245    16863.0248925    22526.0466258    27941.0624664
      0.8568834     8252.1879457     5904.8406165    10475.8177683    12391.8859638    16545.2589210    22101.5669648    27414.5425262
      0.8625582    13312.0155433     5795.0252638    10280.9936066    12161.4276981    16237.5582459    21690.5327762    26904.7002032
      0.8682329    10142.5453891     5688.6850675    10092.3347435    11938.2623884    15939.5948978    21292.5059503    26410.9920710
      0.8739076     7923.1394211     5585.7094361     9909.6449776    11722.1579471    15651.0590006    20907.0725470    25932.9046828
