%Data filename =  
%     Frequency   Period/Wavelength       Rel. Power   SWA_background
      0.5788219        1.7276471    24002.9006761    17700.4635863
      0.5844967        1.7108738    20911.5639936    17379.8814377
      0.5901714        1.6944231    16759.7042615    17054.5908254
      0.5958461        1.6782857    25728.9926118    16725.3872590
      0.6015208        1.6624528    20493.7737401    16393.0935961
      0.6071956        1.6469159    17948.6905536    16058.5490139
      0.6128703        1.6316667    13238.7343392    15722.5982062
      0.6185450        1.6166972    16040.9144258    15386.0810188
      0.6242197        1.6020000    14022.8387273    15049.8227123
      0.6298945        1.5875676    16333.1643943    14714.6250156
      0.6355692        1.5733929    18774.6181695    14381.2581001
      0.6412439        1.5594690    26023.3082707    14050.4535714
      0.6469186        1.5457895    33533.5682277    13722.8985416
      0.6525933        1.5323478    19631.5763404    13399.2308148
      0.6582681        1.5191379    15186.6057537    13080.0351855
      0.6639428        1.5061538     7073.0388492    12765.8408231
      0.6696175        1.4933898    13367.0784271    12457.1196932
      0.6752922        1.4808403    13485.1172395    12154.2859460
      0.6809670        1.4685000    15998.0444262    11857.6961878
      0.6866417        1.4563636     7294.9925655    11567.6505392
      0.6923164        1.4444262    10490.0594982    11284.3943796
      0.6979911        1.4326829     8442.9145585    11008.1206721
      0.7036659        1.4211290    14707.1810982    10738.9727646
      0.7093406        1.4097600    11871.1386716    10477.0475649
      0.7150153        1.3985714    19398.0360696    10222.3989947
      0.7206900        1.3875591    17888.5951672     9975.0416312
      0.7263648        1.3767187    17230.9282739     9734.9544556
      0.7320395        1.3660465     3241.5533090     9502.0846370
      0.7377142        1.3555385     8577.5924054     9276.3512860
      0.7433889        1.3451908    10145.1127141     9057.6491255
      0.7490637        1.3350000    20522.2276077     8845.8520329
      0.7547384        1.3249624    18025.0511026     8640.8164169
      0.7604131        1.3150746    11335.8039626     8442.3843996
      0.7660878        1.3053333     9697.9757998     8250.3867839
      0.7717626        1.2957353     9893.5849794     8064.6457889
      0.7774373        1.2862774    10040.5648128     7884.9775471
      0.7831120        1.2769565    12384.7763439     7711.1943565
      0.7887867        1.2677698    15264.7299362     7543.1066908
      0.7944615        1.2587143    12895.2844592     7380.5249691
      0.8001362        1.2497872     4475.6956208     7223.2610958
      0.8058109        1.2409859     2159.6931191     7071.1297769
      0.8114856        1.2323077     2033.4424710     6923.9496278
      0.8171604        1.2237500     2188.0314488     6781.5440843
      0.8228351        1.2153103     4381.7669208     6643.7421326
      0.8285098        1.2069863     7351.3176532     6510.3788721
      0.8341845        1.1987755     6041.9198479     6381.2959286
      0.8398593        1.1906757     3865.1986587     6256.3417327
      0.8455340        1.1826846     2682.8782833     6135.3716777
      0.8512087        1.1748000     7537.3331419     6018.2481747
      0.8568834        1.1670199     8252.1879457     5904.8406165
      0.8625582        1.1593421    13312.0155433     5795.0252638
      0.8682329        1.1517647    10142.5453891     5688.6850675
      0.8739076        1.1442857     7923.1394211     5585.7094361
      0.8795823        1.1369032     5582.5717805     5485.9939578
      0.8852571        1.1296154     3521.8215376     5389.4400874
      0.8909318        1.1224204     7723.4749863     5295.9548025
      0.8966065        1.1153165     9926.1202543     5205.4502362
      0.9022812        1.1083019    11382.9726719     5117.8432909
      0.9079560        1.1013750    10690.0002808     5033.0552356
      0.9136307        1.0945342     4883.9893420     4951.0112909
      0.9193054        1.0877778     3255.1281849     4871.6402018
      0.9249801        1.0811043     3507.0290681     4794.8738017
      0.9306549        1.0745122     3963.5313226     4720.6465668
      0.9363296        1.0680000     4365.3670046     4648.8951625
      0.9420043        1.0615663     2663.1308813     4579.5579832
      0.9476790        1.0552096     3668.9112292     4512.5746855
      0.9533538        1.0489286     4299.1382404     4447.8857159
      0.9590285        1.0427219     6289.7436711     4385.4318362
      0.9647032        1.0365882     6060.3153996     4325.1536468
      0.9703779        1.0305263     3037.5350734     4266.9911126
      0.9760527        1.0245349     1107.8834736     4210.8830932
      0.9817274        1.0186127     8940.0940595     4156.7668833
      0.9874021        1.0127586     9735.7116497     4104.5777667
      0.9930768        1.0069714     8443.1060885     4054.2485905
      0.9987516        1.0012500     4474.6134582     4005.7093651
      1.0044263        0.9955932     6960.4085162     3958.8868975
      1.0101010        0.9900000     7954.1919373     3913.7044646
      1.0157757        0.9844693     8471.1601163     3870.0815349
      1.0214505        0.9790000     2932.3665667     3827.9335468
      1.0271252        0.9735912     2244.0295302     3787.1717515
      1.0327999        0.9682418     1744.6382975     3747.7031293
      1.0384746        0.9629508      522.5995290     3709.4303877
      1.0441494        0.9577174      143.6128120     3672.2520485
      1.0498241        0.9525405     2382.3044176     3636.0626324
      1.0554988        0.9474194     5659.0924813     3600.7529456
      1.0611735        0.9423529     5753.2982554     3566.2104755
      1.0668483        0.9373404     4433.3424591     3532.3198972
      1.0725230        0.9323810     2643.4520401     3498.9636931
      1.0781977        0.9274737     3872.2548067     3466.0228846
      1.0838724        0.9226178     2377.1849216     3433.3778730
      1.0895472        0.9178125     1128.5042960     3400.9093809
      1.0952219        0.9130570     2720.0788085     3368.4994879
      1.1008966        0.9083505     8004.4804534     3336.0327442
      1.1065713        0.9036923     8236.7912163     3303.3973475
      1.1122461        0.8990816     6149.2663258     3270.4863628
      1.1179208        0.8945178     1291.4151469     3237.1989623
      1.1235955        0.8900000     2834.2224813     3203.4416591
      1.1292702        0.8855276     5890.9996296     3169.1295077
      1.1349450        0.8811000     7877.1346036     3134.1872413
      1.1406197        0.8767164     4467.8871529     3098.5503170
      1.1462944        0.8723762     3447.7364242     3062.1658385
      1.1519691        0.8680788     1197.7021732     3024.9933293
      1.1576439        0.8638235     1660.2671615     2987.0053309
      1.1633186        0.8596098     1254.2996573     2948.1878053
      1.1689933        0.8554369     1292.7377768     2908.5403248
      1.1746680        0.8513043     1045.9398286     2868.0760384
      1.1803428        0.8472115     2345.1621226     2826.8214099
      1.1860175        0.8431579     2400.8499025     2784.8157313
      1.1916922        0.8391429     3570.9246462     2742.1104181
      1.1973669        0.8351659     6530.8337198     2698.7681043
      1.2030417        0.8312264     4907.0301937     2654.8615576
      1.2087164        0.8273239     2816.2711452     2610.4724418
      1.2143911        0.8234579     3846.7305513     2565.6899587
      1.2200658        0.8196279     4492.9145313     2520.6094020
      1.2257406        0.8158333     6666.2933658     2475.3306619
      1.2314153        0.8120737     5155.1553933     2429.9567140
      1.2370900        0.8083486     5107.8967240     2384.5921305
      1.2427647        0.8046575     3849.9067498     2339.3416456
      1.2484395        0.8010000     7915.8002954     2294.3088053
      1.2541142        0.7973756     9688.3012738     2249.5947273
      1.2597889        0.7937838     8025.6005744     2205.2969918
      1.2654636        0.7902242     4519.7750037     2161.5086793
      1.2711383        0.7866964     2264.1184310     2118.3175639
      1.2768131        0.7832000     2581.3395783     2075.8054692
      1.2824878        0.7797345     2190.0770552     2034.0477840
      1.2881625        0.7762996     1569.2595263     1993.1131354
      1.2938372        0.7728947     4038.5847933     1953.0632084
      1.2995120        0.7695197     4567.5782385     1913.9527019
      1.3051867        0.7661739     4035.3797604     1875.8294047
      1.3108614        0.7628571     1967.2768628     1838.7343777
      1.3165361        0.7595690     3033.3813012     1802.7022229
      1.3222109        0.7563090     3279.0764360     1767.7614226
      1.3278856        0.7530769     4041.5450052     1733.9347330
      1.3335603        0.7498723     1488.3257791     1701.2396134
      1.3392350        0.7466949     1017.2988587     1669.6886782
      1.3449098        0.7435443      512.2253558     1639.2901569
      1.3505845        0.7404202     3964.0775250     1610.0483519
      1.3562592        0.7373222     4090.1305899     1581.9640826
      1.3619339        0.7342500     4526.6820032     1555.0351101
      1.3676087        0.7312033      766.2485016     1529.2565356
      1.3732834        0.7281818      891.5127831     1504.6211697
      1.3789581        0.7251852      613.0627907     1481.1198693
      1.3846328        0.7222131      959.6171544     1458.7418432
      1.3903076        0.7192653     2031.6679730     1437.4749266
