-147.8,-84.7161404,84.8266697,9.47583254,0.23611361
-147.5,-84.9799846,85.6534109,9.55025743,0.255332405
-147.2,-84.7797903,86.4940626,9.62420391,0.274072792
-146.9,-84.1147352,87.3472572,9.6976818,0.292344588
-146.6,-82.9862617,88.2116783,9.77070137,0.310158069
-146.3,-81.3980638,89.0860606,9.84327326,0.327523866
-146,-79.3560631,89.9691886,9.91540837,0.344452874
-145.7,-76.8683745,90.8598966,9.98711775,0.360956166
-145.4,-73.9452625,91.7570667,10.0584126,0.377044921
-145.1,-70.5990873,92.6596286,10.1293041,0.392730358
-144.8,-66.8442412,93.5665572,10.1998035,0.40802368
-144.5,-62.6970771,94.4768723,10.269922,0.422936024
-144.2,-58.1758266,95.3896361,10.3396705,0.437478421
-143.9,-53.3005113,96.3039527,10.4090599,0.451661756
-143.6,-48.092845,97.2189656,10.478101,0.465496742
-143.3,-42.5761297,98.133857,10.5468042,0.478993894
-143,-36.7751436,99.0478457,10.6151799,0.492163504
-142.7,-30.7160233,99.9601862,10.6832382,0.505015631
-142.4,-24.4261405,100.870166,10.7509887,0.517560083
-142.1,-17.9339728,101.777107,10.8184411,0.52980641
-141.8,-11.2689707,102.680359,10.8856047,0.541763895
-141.5,-4.46141974,103.579304,10.9524885,0.55344155
-141.2,2.45769966,104.473351,11.0191011,0.564848113
-140.9,9.45685582,105.361937,11.0854511,0.575992048
-140.6,16.504111,106.244524,11.1515467,0.586881546
-140.3,23.5672681,107.120598,11.2173958,0.597524522
-140,30.614018,107.989671,11.283006,0.607928625
-139.7,37.6120866,108.851274,11.3483847,0.618101237
-139.4,44.5293818,109.704963,11.413539,0.62804948
-139.1,51.3341386,110.55031,11.4784759,0.637780218
-138.8,57.9950623,111.38691,11.5432018,0.647300067
-138.5,64.4814694,112.214376,11.6077232,0.656615398
-138.2,70.7634246,113.032337,11.6720463,0.665732343
-137.9,76.8118748,113.840441,11.7361768,0.674656805
-137.6,82.598778,114.63835,11.8001206,0.68339446
-137.3,88.0972274,115.425744,11.863883,0.691950766
-137,93.2815699,116.202314,11.9274693,0.70033097
-136.7,98.1275187,116.967768,11.9908845,0.708540115
