0.066496	1.07E+06	3.61E+05	5.55E+05	7.41E+05	9.21E+05	1.33E+06	1.66E+06
0.067775	4.63E+05	3.52E+05	5.42E+05	7.23E+05	8.99E+05	1.29E+06	1.62E+06
0.069054	41969	3.44E+05	5.29E+05	7.06E+05	8.78E+05	1.26E+06	1.58E+06
0.070332	2.73E+05	3.36E+05	5.16E+05	6.89E+05	8.57E+05	1.23E+06	1.54E+06
0.071611	2.33E+05	3.28E+05	5.04E+05	6.73E+05	8.37E+05	1.20E+06	1.51E+06
0.07289	1.64E+05	3.21E+05	4.93E+05	6.58E+05	8.18E+05	1.18E+06	1.47E+06
0.074169	1.83E+05	3.13E+05	4.81E+05	6.43E+05	7.99E+05	1.15E+06	1.44E+06
0.075448	1.99E+05	3.06E+05	4.70E+05	6.28E+05	7.81E+05	1.12E+06	1.41E+06
0.076726	2.47E+05	2.99E+05	4.60E+05	6.14E+05	7.63E+05	1.10E+06	1.37E+06
0.078005	6.21E+05	2.92E+05	4.49E+05	6.00E+05	7.46E+05	1.07E+06	1.34E+06
0.079284	9.06E+05	2.86E+05	4.39E+05	5.87E+05	7.29E+05	1.05E+06	1.31E+06
0.080563	3.84E+05	2.80E+05	4.30E+05	5.74E+05	7.13E+05	1.03E+06	1.28E+06
0.081841	2.65E+05	2.73E+05	4.20E+05	5.61E+05	6.97E+05	1.00E+06	1.26E+06
0.08312	3.44E+05	2.67E+05	4.11E+05	5.49E+05	6.82E+05	9.82E+05	1.23E+06
0.084399	3.04E+05	2.62E+05	4.02E+05	5.37E+05	6.67E+05	9.60E+05	1.20E+06
0.085678	2.11E+05	2.56E+05	3.93E+05	5.25E+05	6.53E+05	9.40E+05	1.18E+06
0.086957	1.34E+05	2.51E+05	3.85E+05	5.14E+05	6.39E+05	9.20E+05	1.15E+06
0.088235	48888	2.45E+05	3.77E+05	5.03E+05	6.26E+05	9.00E+05	1.13E+06
0.089514	1.25E+05	2.40E+05	3.69E+05	4.93E+05	6.12E+05	8.82E+05	1.10E+06
0.090793	2.21E+05	2.35E+05	3.61E+05	4.83E+05	6.00E+05	8.63E+05	1.08E+06
0.092072	2.63E+05	2.30E+05	3.54E+05	4.73E+05	5.87E+05	8.45E+05	1.06E+06
0.09335	1.95E+05	2.26E+05	3.47E+05	4.63E+05	5.75E+05	8.28E+05	1.04E+06
0.094629	2.65E+05	2.21E+05	3.40E+05	4.54E+05	5.64E+05	8.11E+05	1.02E+06
0.095908	3.52E+05	2.17E+05	3.33E+05	4.44E+05	5.52E+05	7.95E+05	9.95E+05
0.097187	1.93E+05	2.12E+05	3.26E+05	4.36E+05	5.41E+05	7.79E+05	9.76E+05
0.098465	74017	2.08E+05	3.20E+05	4.27E+05	5.31E+05	7.64E+05	9.56E+05
0.099744	85045	2.04E+05	3.14E+05	4.19E+05	5.20E+05	7.49E+05	9.38E+05
0.10102	1.32E+05	2.00E+05	3.07E+05	4.10E+05	5.10E+05	7.34E+05	9.19E+05
0.1023	74417	1.96E+05	3.02E+05	4.03E+05	5.00E+05	7.20E+05	9.02E+05
0.10358	3.02E+05	1.92E+05	2.96E+05	3.95E+05	4.91E+05	7.06E+05	8.84E+05
0.10486	2.23E+05	1.89E+05	2.90E+05	3.87E+05	4.81E+05	6.93E+05	8.68E+05
0.10614	92984	1.85E+05	2.85E+05	3.80E+05	4.72E+05	6.80E+05	8.51E+05
0.10742	89206	1.82E+05	2.79E+05	3.73E+05	4.64E+05	6.67E+05	8.36E+05
0.1087	1.70E+05	1.78E+05	2.74E+05	3.66E+05	4.55E+05	6.55E+05	8.20E+05
0.10997	5.50E+05	1.75E+05	2.69E+05	3.59E+05	4.47E+05	6.43E+05	8.05E+05
0.11125	4.82E+05	1.72E+05	2.64E+05	3.53E+05	4.39E+05	6.31E+05	7.91E+05
0.11253	1.16E+05	1.69E+05	2.60E+05	3.47E+05	4.31E+05	6.20E+05	7.76E+05
0.11381	1.44E+05	1.66E+05	2.55E+05	3.40E+05	4.23E+05	6.09E+05	7.63E+05
0.11509	2.48E+05	1.63E+05	2.50E+05	3.34E+05	4.16E+05	5.98E+05	7.49E+05
0.11637	4.15E+05	1.60E+05	2.46E+05	3.29E+05	4.08E+05	5.88E+05	7.36E+05
0.11765	3.21E+05	1.57E+05	2.42E+05	3.23E+05	4.01E+05	5.78E+05	7.23E+05
0.11893	1.72E+05	1.55E+05	2.38E+05	3.17E+05	3.94E+05	5.68E+05	7.11E+05
0.1202	1.55E+05	1.52E+05	2.34E+05	3.12E+05	3.88E+05	5.58E+05	6.99E+05
0.12148	1.88E+05	1.49E+05	2.30E+05	3.07E+05	3.81E+05	5.48E+05	6.87E+05
0.12276	1.56E+05	1.47E+05	2.26E+05	3.01E+05	3.75E+05	5.39E+05	6.75E+05
0.12404	1.30E+05	1.44E+05	2.22E+05	2.96E+05	3.68E+05	5.30E+05	6.64E+05
0.12532	37261	1.42E+05	2.18E+05	2.92E+05	3.62E+05	5.22E+05	6.53E+05
0.1266	95940	1.40E+05	2.15E+05	2.87E+05	3.56E+05	5.13E+05	6.42E+05
0.12788	78723	1.38E+05	2.11E+05	2.82E+05	3.51E+05	5.05E+05	6.32E+05
0.12916	66044	1.35E+05	2.08E+05	2.78E+05	3.45E+05	4.97E+05	6.22E+05
0.13043	1.19E+05	1.33E+05	2.05E+05	2.73E+05	3.39E+05	4.89E+05	6.12E+05
0.13171	75181	1.31E+05	2.01E+05	2.69E+05	3.34E+05	4.81E+05	6.02E+05
0.13299	1.54E+05	1.29E+05	1.98E+05	2.65E+05	3.29E+05	4.73E+05	5.93E+05
0.13427	1.70E+05	1.27E+05	1.95E+05	2.60E+05	3.24E+05	4.66E+05	5.83E+05
