-20,1314.14259,73.0858399,146.17168
-19.6666667,1319.00057,60.698231,121.396462
-19.3333333,1327.10748,51.1760458,102.352092
-19,1341.40913,45.0765362,90.1530724
-18.6666667,1359.82219,47.8658942,95.7317884
-18.3333333,1381.55976,56.3109709,112.621942
-18,1405.86266,66.2646169,132.529234
-17.6666667,1432.48058,74.9113845,149.822769
-17.3333333,1461.07362,80.9877628,161.975526
-17,1490.93414,84.4676924,168.935385
-16.95,1495.62151,84.7312835,169.462567
-16.7,1520.47766,84.3373675,168.674735
-16.6,1531.23749,83.6019301,167.20386
-16.2,1580.31842,77.780155,155.56031
-15.9,1620.90383,75.9517954,151.903591
-15.7,1647.86803,76.3217333,152.643467
-15.45,1677.43509,78.7936738,157.587348
-15.2,1699.02445,81.6849026,163.369805
-14.95,1708.52682,82.1628166,164.325633
-14.7,1702.07484,82.1635393,164.327079
-14.45,1679.72453,75.5333122,151.066624
-14.2,1641.27663,66.5673271,133.134654
-13.95,1590.84026,62.1944579,124.388916
-13.7,1531.99506,59.9323213,119.864643
-13.45,1468.61414,58.5105218,117.021044
-13.2,1405.65914,57.8560033,115.712007
-12.95,1346.83377,58.3610578,116.722116
-12.7,1295.48863,58.0811745,116.162349
-12.45,1253.62906,54.4032441,108.806488
-12.2,1222.41689,53.7651061,107.530212
-11.95,1203.68995,51.8429586,103.685917
-11.7,1194.89533,51.6663787,103.332757
-11.45,1194.96489,50.4050861,100.810172
-11.2,1199.82189,51.3907214,102.781443
-10.95,1204.16584,54.4691704,108.938341
-10.7,1201.18012,54.5577227,109.115445
-10.45,1191.68743,55.1115221,110.223044
-10.2,1175.84811,52.7693482,105.538696
-9.95,1155.45868,50.494189,100.988378
-9.8,1146.51458,52.7723534,105.544707
-9.45,1158.56801,71.8418643,143.683729
-9.2,1199.44972,84.9553125,169.910625
-9.1,1226.40321,87.1048637,174.209727
-9,1260.5505,86.286297,172.572594
-8.9,1298.79599,85.4649231,170.929846
-8.8,1340.09274,84.341739,168.683478
-8.7,1384.33194,84.7095904,169.419181
-8.6,1431.52078,87.8809631,175.761926
-8.5,1479.88219,94.3289029,188.657806
-8.4,1527.1855,103.938785,207.87757
-8.3,1569.55068,111.803427,223.606853
-8.2,1605.30604,116.990574,233.981149
-8.1,1632.19278,120.530527,241.061055
-8,1645.66393,117.84473,235.68946
-7.9,1644.35736,110.214382,220.428763
-7.8,1628.50695,97.7161927,195.432385
-7.7,1600.30156,85.4525359,170.905072
-7.6,1560.9172,75.1839989,150.367998
-7.5,1516.03473,67.6301196,135.260239
-7.4,1472.8047,63.7100762,127.420152
